Date,SKU,Product_Category,Warehouse,Forecasted_Demand
2016-01-05,Product_0001,Category_005,Whse_J,300.0
2016-01-05,Product_0001,Category_005,Whse_J,300.0
2016-01-07,Product_0001,Category_005,Whse_J,0.0
2016-01-08,Product_0001,Category_005,Whse_J,200.0
2016-01-15,Product_0001,Category_005,Whse_J,0.0
2016-01-19,Product_0001,Category_005,Whse_J,300.0
2016-01-19,Product_0001,Category_005,Whse_J,200.0
2016-01-19,Product_0001,Category_005,Whse_A,100.0
2016-01-29,Product_0001,Category_005,Whse_J,0.0
2016-02-02,Product_0001,Category_005,Whse_A,200.0
2016-02-03,Product_0001,Category_005,Whse_J,300.0
2016-02-09,Product_0001,Category_005,Whse_J,100.0
2016-02-10,Product_0001,Category_005,Whse_A,1000.0
2016-02-17,Product_0001,Category_005,Whse_J,100.0
2016-02-18,Product_0001,Category_005,Whse_A,1000.0
2016-02-19,Product_0001,Category_005,Whse_A,0.0
2016-02-22,Product_0001,Category_005,Whse_J,0.0
2016-02-23,Product_0001,Category_005,Whse_J,300.0
2016-02-25,Product_0001,Category_005,Whse_A,2000.0
2016-03-01,Product_0001,Category_005,Whse_J,0.0
2016-03-02,Product_0001,Category_005,Whse_J,500.0
2016-03-04,Product_0001,Category_005,Whse_A,2000.0
2016-03-08,Product_0001,Category_005,Whse_J,200.0
2016-03-10,Product_0001,Category_005,Whse_J,100.0
2016-03-14,Product_0001,Category_005,Whse_A,1000.0
2016-03-15,Product_0001,Category_005,Whse_J,200.0
2016-03-16,Product_0001,Category_005,Whse_J,300.0
2016-03-18,Product_0001,Category_005,Whse_J,1000.0
2016-03-18,Product_0001,Category_005,Whse_J,300.0
2016-03-21,Product_0001,Category_005,Whse_A,3000.0
2016-03-29,Product_0001,Category_005,Whse_J,0.0
2016-03-29,Product_0001,Category_005,Whse_J,0.0
2016-04-06,Product_0001,Category_005,Whse_A,2000.0
2016-04-15,Product_0001,Category_005,Whse_J,500.0
2016-04-21,Product_0001,Category_005,Whse_J,300.0
2016-04-21,Product_0001,Category_005,Whse_J,100.0
2016-04-22,Product_0001,Category_005,Whse_J,200.0
2016-04-25,Product_0001,Category_005,Whse_J,300.0
2016-05-02,Product_0001,Category_005,Whse_J,300.0
2016-05-06,Product_0001,Category_005,Whse_J,300.0
2016-05-09,Product_0001,Category_005,Whse_J,300.0
2016-05-09,Product_0001,Category_005,Whse_A,2000.0
2016-05-11,Product_0001,Category_005,Whse_J,1000.0
2016-05-12,Product_0001,Category_005,Whse_J,300.0
2016-05-13,Product_0001,Category_005,Whse_A,0.0
2016-05-16,Product_0001,Category_005,Whse_J,0.0
2016-05-17,Product_0001,Category_005,Whse_A,6000.0
2016-05-19,Product_0001,Category_005,Whse_J,0.0
2016-05-26,Product_0001,Category_005,Whse_A,4000.0
2016-05-31,Product_0001,Category_005,Whse_A,0.0
2016-06-06,Product_0001,Category_005,Whse_J,300.0
2016-06-10,Product_0001,Category_005,Whse_J,300.0
2016-06-13,Product_0001,Category_005,Whse_J,300.0
2016-06-14,Product_0001,Category_005,Whse_A,0.0
2016-06-16,Product_0001,Category_005,Whse_J,100.0
2016-06-17,Product_0001,Category_005,Whse_J,300.0
2016-06-23,Product_0001,Category_005,Whse_J,100.0
2016-06-23,Product_0001,Category_005,Whse_J,300.0
2016-06-23,Product_0001,Category_005,Whse_A,3000.0
2016-06-29,Product_0001,Category_005,Whse_J,0.0
2016-06-29,Product_0001,Category_005,Whse_J,0.0
2016-06-30,Product_0001,Category_005,Whse_J,0.0
2016-07-07,Product_0001,Category_005,Whse_J,300.0
2016-07-11,Product_0001,Category_005,Whse_J,300.0
2016-07-14,Product_0001,Category_005,Whse_A,3300.0
2016-07-15,Product_0001,Category_005,Whse_J,300.0
2016-07-15,Product_0001,Category_005,Whse_J,600.0
2016-07-18,Product_0001,Category_005,Whse_A,500.0
2016-07-20,Product_0001,Category_005,Whse_A,2000.0
2016-07-28,Product_0001,Category_005,Whse_A,2000.0
2016-08-01,Product_0001,Category_005,Whse_J,300.0
2016-08-02,Product_0001,Category_005,Whse_A,1900.0
2016-08-02,Product_0001,Category_005,Whse_A,100.0
2016-08-08,Product_0001,Category_005,Whse_J,300.0
2016-08-10,Product_0001,Category_005,Whse_A,1000.0
2016-08-17,Product_0001,Category_005,Whse_J,100.0
2016-08-22,Product_0001,Category_005,Whse_J,300.0
2016-08-22,Product_0001,Category_005,Whse_J,500.0
2016-08-29,Product_0001,Category_005,Whse_A,3000.0
2016-08-31,Product_0001,Category_005,Whse_A,0.0
2016-08-31,Product_0001,Category_005,Whse_A,0.0
2016-09-01,Product_0001,Category_005,Whse_J,300.0
2016-09-05,Product_0001,Category_005,Whse_J,300.0
2016-09-08,Product_0001,Category_005,Whse_J,300.0
2016-09-08,Product_0001,Category_005,Whse_J,300.0
2016-09-23,Product_0001,Category_005,Whse_A,900.0
2016-09-23,Product_0001,Category_005,Whse_A,1100.0
2016-09-26,Product_0001,Category_005,Whse_J,100.0
2016-01-04,Product_0002,Category_005,Whse_S,25000.0
2016-01-04,Product_0002,Category_005,Whse_S,80000.0
2016-01-11,Product_0002,Category_005,Whse_C,1000.0
2016-01-14,Product_0002,Category_005,Whse_S,40000.0
2016-01-17,Product_0002,Category_005,Whse_S,0.0
2016-01-25,Product_0002,Category_005,Whse_S,20000.0
2016-01-29,Product_0002,Category_005,Whse_S,0.0
2016-02-18,Product_0002,Category_005,Whse_S,40000.0
2016-02-29,Product_0002,Category_005,Whse_S,0.0
2016-03-11,Product_0002,Category_005,Whse_C,2000.0
2016-03-15,Product_0002,Category_005,Whse_S,30000.0
2016-03-31,Product_0002,Category_005,Whse_S,15000.0
2016-03-31,Product_0002,Category_005,Whse_S,15000.0
2016-03-31,Product_0002,Category_005,Whse_S,20000.0
2016-04-22,Product_0002,Category_005,Whse_C,1000.0
2016-05-05,Product_0002,Category_005,Whse_S,20000.0
2016-05-13,Product_0002,Category_005,Whse_S,0.0
2016-05-16,Product_0002,Category_005,Whse_C,0.0
2016-05-23,Product_0002,Category_005,Whse_S,30000.0
2016-05-25,Product_0002,Category_005,Whse_C,1000.0
2016-05-26,Product_0002,Category_005,Whse_S,40000.0
2016-06-17,Product_0002,Category_005,Whse_C,1000.0
2016-06-30,Product_0002,Category_005,Whse_S,0.0
2016-06-30,Product_0002,Category_005,Whse_S,0.0
2016-06-30,Product_0002,Category_005,Whse_S,0.0
2016-06-30,Product_0002,Category_005,Whse_S,0.0
2016-07-06,Product_0002,Category_005,Whse_C,1000.0
2016-07-14,Product_0002,Category_005,Whse_S,0.0
2016-07-18,Product_0002,Category_005,Whse_C,1000.0
2016-07-18,Product_0002,Category_005,Whse_S,10000.0
2016-07-28,Product_0002,Category_005,Whse_S,0.0
2016-08-12,Product_0002,Category_005,Whse_S,0.0
2016-08-15,Product_0002,Category_005,Whse_C,0.0
2016-08-17,Product_0002,Category_005,Whse_C,1000.0
2016-08-17,Product_0002,Category_005,Whse_C,1500.0
2016-08-18,Product_0002,Category_005,Whse_S,20000.0
2016-08-23,Product_0002,Category_005,Whse_C,1000.0
2016-08-25,Product_0002,Category_005,Whse_C,3000.0
